match_id,team_id,side,possession,shots_on_target,shots_total,saves,cards
241289403551744,TEAM-0FF29040,AWAY,49,38,5,40,0
140509386351702,TEAM-7C631724,HOME,60,6,15,3,0
140509386351702,TEAM-27AC674B,AWAY,40,33,3,66,0
49981878868916,TEAM-7273A887,HOME,55,3,14,0,0
49981878868916,TEAM-BDDFCDFA,AWAY,45,14,1,100,0
151807189121311,TEAM-720795A0,HOME,49,7,11,3,0
151807189121311,TEAM-A415D192,AWAY,51,21,3,57,0
229214180995221,TEAM-782246EA,HOME,27,6,7,8,0
229214180995221,TEAM-550D05AB,AWAY,73,36,9,50,0
265862638998493,TEAM-A4EC0F45,HOME,50,5,10,6,0
265862638998493,TEAM-B2118D2C,AWAY,50,32,8,60,0
122764594323375,TEAM-1C981597,HOME,42,6,26,1,0
122764594323375,TEAM-A4EC0F45,AWAY,58,50,3,33,0
249209640712975,TEAM-A415D192,HOME,67,4,11,3,0
249209640712975,TEAM-839B22B8,AWAY,33,36,5,75,0
266097448106403,TEAM-BDDFCDFA,HOME,47,5,10,5,0
266097448106403,TEAM-D069E7F8,AWAY,53,38,6,40,0
59934689754353,TEAM-B2118D2C,HOME,50,7,10,3,0
59934689754353,TEAM-0587F59E,AWAY,50,20,3,71,0
1723534310882,TEAM-27AC674B,HOME,42,1,8,2,0
1723534310882,TEAM-93330B41,AWAY,58,29,4,100,0
87936432211056,TEAM-0E077100,AWAY,39,17,1,87,0
80696913913348,TEAM-550D05AB,HOME,73,7,15,3,0
80696913913348,TEAM-0FF29040,AWAY,27,25,3,57,0
267070128393503,TEAM-782246EA,HOME,36,4,10,2,0
267070128393503,TEAM-720795A0,AWAY,64,24,4,25,0
212324418555205,TEAM-7C631724,AWAY,56,22,4,77,0
249170157109194,TEAM-51EA86E0,HOME,69,4,13,1,0
249170157109194,TEAM-7273A887,AWAY,31,25,2,75,0
211830410333780,TEAM-D069E7F8,HOME,50,3,10,5,0
97738189384961,TEAM-0FF29040,HOME,34,4,8,1,0
97738189384961,TEAM-51EA86E0,AWAY,66,11,1,75,0
88196758283503,TEAM-839B22B8,HOME,47,5,15,2,0
88196758283503,TEAM-27AC674B,AWAY,53,80,4,40,0
213655822347260,TEAM-1C981597,HOME,45,2,10,4,0
233084514322073,TEAM-A4EC0F45,HOME,39,3,9,4,0
233084514322073,TEAM-550D05AB,AWAY,61,27,8,66,0
103873934296763,TEAM-93330B41,HOME,57,6,16,3,0
103873934296763,TEAM-A415D192,AWAY,43,36,4,66,0
